"codmpio","Petro","Duque","nomark","null","blank","vtotal","diff_top2","Duquep","Petrop","diff_top2p"
5310,383,3590,19,69,142,4203,3207,0.854151796335951,0.0911253866285986,0.763026409707352
5313,414,4713,17,35,159,5338,4299,0.882914949419258,0.0775571375046834,0.805357811914575
5315,364,1546,25,38,110,2083,1182,0.742198751800288,0.174747959673548,0.56745079212674
5318,3924,17570,55,368,1330,23247,13646,0.755796446853357,0.168795973674022,0.587000473179335
5321,727,3616,6,47,187,4583,2889,0.789002836569932,0.158629718524984,0.630373118044949
5347,291,2305,9,48,97,2750,2014,0.838181818181818,0.105818181818182,0.732363636363636
5353,360,1976,6,17,90,2449,1616,0.80685994283381,0.146998775010208,0.659861167823601
5360,29397,98075,140,2534,8953,139099,68678,0.705073365013408,0.211338686834557,0.493734678178851
5361,1234,2599,71,131,351,4386,1365,0.592567259461924,0.281349749202006,0.311217510259918
5364,1462,5645,15,58,298,7478,4183,0.75488098422038,0.195506820005349,0.559374164215031
5368,627,5280,16,65,199,6187,4653,0.85340229513496,0.101341522547277,0.752060772587684
5376,5323,24642,73,622,1941,32601,19319,0.755866384466734,0.163277200085887,0.592589184380847
5380,7086,21974,38,669,2182,31949,14888,0.687783655200476,0.221790979373376,0.465992675827099
5390,562,2857,13,47,108,3587,2295,0.796487315305269,0.156676888764985,0.639810426540284
5400,1693,9029,24,154,496,11396,7336,0.792295542295542,0.148560898560899,0.643734643734644
5411,483,4053,13,50,155,4754,3570,0.852545225073622,0.10159865376525,0.750946571308372
5425,492,2987,10,37,132,3658,2495,0.816566429743029,0.134499726626572,0.682066703116457
5440,5013,20433,44,340,1193,27023,15420,0.756133663915924,0.185508640787477,0.570625023128446
5467,342,2465,22,53,135,3017,2123,0.81703679151475,0.113357640039775,0.703679151474975
5475,1126,148,8,7,10,1299,-978,0.113933795227098,0.866820631254811,-0.752886836027714
5480,1636,2414,15,69,93,4227,778,0.571090607996215,0.3870357227348,0.184054885261415
5483,166,3850,14,15,69,4114,3684,0.935828877005348,0.0403500243072436,0.895478852698104
5490,4258,8124,65,149,269,12865,3866,0.631480761756704,0.330975514963078,0.300505246793626
5495,1311,3671,7,43,86,5118,2360,0.71727237202032,0.256154747948417,0.461117624071903
5501,175,1368,6,14,48,1611,1193,0.849162011173184,0.10862818125388,0.740533829919305
5541,1143,7959,13,96,316,9527,6816,0.835415135929464,0.119974808439173,0.715440327490291
5543,448,2370,21,51,113,3003,1922,0.789210789210789,0.149184149184149,0.64002664002664
5576,345,3064,10,27,76,3522,2719,0.869960249858035,0.0979557069846678,0.772004542873367
5579,3501,9727,53,277,648,14206,6226,0.684710685625792,0.246445164015205,0.438265521610587
5585,1933,3387,13,93,103,5529,1454,0.612588171459577,0.3496111412552,0.262977030204377
5591,1040,5970,21,89,201,7321,4930,0.81546236852889,0.142057096025133,0.673405272503756
5604,1972,2922,32,152,454,5532,950,0.528199566160521,0.35647143890094,0.171728127259581
5607,1468,9827,24,131,562,12012,8359,0.818098568098568,0.122211122211122,0.695887445887446
5615,13161,51654,88,1216,3927,70046,38493,0.737429689061474,0.187890814607544,0.54953887445393
5628,295,2991,15,37,115,3453,2696,0.866203301476977,0.0854329568491167,0.78077034462786
5631,9057,33270,36,490,2710,45563,24213,0.73019774817286,0.198779711608103,0.531418036564757
5642,347,5807,15,40,127,6336,5460,0.916508838383838,0.0547664141414141,0.861742424242424
5647,257,1704,27,56,92,2136,1447,0.797752808988764,0.120318352059925,0.677434456928839
5649,942,5991,24,92,238,7287,5049,0.822149032523672,0.129271305063812,0.69287772745986
5652,328,2385,11,26,49,2799,2057,0.852090032154341,0.11718470882458,0.734905323329761
5656,609,5512,11,78,240,6450,4903,0.854573643410853,0.0944186046511628,0.76015503875969
5658,153,1280,15,23,79,1550,1127,0.825806451612903,0.0987096774193548,0.727096774193548
5659,2849,4342,25,48,114,7378,1493,0.588506370290051,0.386148007590133,0.202358362699919
