id_electoral,ano,tipo_eleccion,fecha_eleccion,coddpto94,coddpto,departamento94,departamento,codmpio94,codmpio,municipio,circunscripcion,codigo_partido,codigo_lista,primer_apellido,segundo_apellido,nombres,votos,curules,codigo_partido_old
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5091,5091,BETANIA,Departamental,18480001,3,HENRIQUEZ,GALLO,JAIME,36,0,1
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5091,5091,BETANIA,Departamental,19940026,1,MESA,RAMIREZ,JORGE,42,0,45
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5091,5091,BETANIA,Departamental,19949998,4,NUNEZ,LAPEIRA,ALFONSO,334,0,98
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5091,5091,BETANIA,Departamental,,998,VOTOS NULOS,,,537,0,
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5091,5091,BETANIA,Departamental,,999,VOTOS EN BLANCO,,,155,0,
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5093,5093,BETULIA,Departamental,18480001,2,URIBE,VELEZ,ALVARO,1247,1,1
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5093,5093,BETULIA,Departamental,18480001,3,HENRIQUEZ,GALLO,JAIME,51,0,1
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5093,5093,BETULIA,Departamental,19940026,1,MESA,RAMIREZ,JORGE,302,0,45
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5093,5093,BETULIA,Departamental,19949998,4,NUNEZ,LAPEIRA,ALFONSO,459,0,98
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5093,5093,BETULIA,Departamental,,998,VOTOS NULOS,,,1213,0,
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5093,5093,BETULIA,Departamental,,999,VOTOS EN BLANCO,,,267,0,
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5101,5101,BOLIVAR,Departamental,18480001,2,URIBE,VELEZ,ALVARO,2830,1,1
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5101,5101,BOLIVAR,Departamental,18480001,3,HENRIQUEZ,GALLO,JAIME,89,0,1
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5101,5101,BOLIVAR,Departamental,19940026,1,MESA,RAMIREZ,JORGE,153,0,45
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5101,5101,BOLIVAR,Departamental,19949998,4,NUNEZ,LAPEIRA,ALFONSO,820,0,98
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5101,5101,BOLIVAR,Departamental,,998,VOTOS NULOS,,,1167,0,
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5101,5101,BOLIVAR,Departamental,,999,VOTOS EN BLANCO,,,464,0,
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5107,5107,BRICENO,Departamental,18480001,2,URIBE,VELEZ,ALVARO,627,1,1
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5107,5107,BRICENO,Departamental,18480001,3,HENRIQUEZ,GALLO,JAIME,58,0,1
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5107,5107,BRICENO,Departamental,19940026,1,MESA,RAMIREZ,JORGE,18,0,45
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5107,5107,BRICENO,Departamental,19949998,4,NUNEZ,LAPEIRA,ALFONSO,461,0,98
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5107,5107,BRICENO,Departamental,,998,VOTOS NULOS,,,580,0,
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5107,5107,BRICENO,Departamental,,999,VOTOS EN BLANCO,,,21,0,
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5113,5113,BURITICA,Departamental,18480001,2,URIBE,VELEZ,ALVARO,853,1,1
