"FID_15t6","Pe_15t6","Du_15t6","vt_15t6","MV18_15t6","eCDF_15t6","el_c15","em_c15","cs_c15","cw_c15","el_c16","em_c16","cs_c16"
664,143,1230,1423,0.76388,0.951024042742654,0,0.211127337488869,0.316691006233304,0,0,0,0
665,864,2297,3293,0.43517,0.592163846838825,0,0.131460373998219,0.197190560997329,0,0,0,0
666,158,444,616,0.46429,0.619768477292965,0,0.137588601959038,0.206382902938557,0,0,0,0
667,5327,13546,20527,0.4004,0.557435440783615,0,0.123750667853963,0.185626001780944,0,0,0,0
668,401,2325,2817,0.683,0.861976847729297,0,0.191358860195904,0.287038290293856,0,0,0,0
669,715,2324,3145,0.51161,0.674977738201247,0,0.149845057880677,0.224767586821015,0,0,0,0
670,1241,1775,3210,0.16636,0.36420302760463,0,0.080853072128228,0.121279608192342,0,0,0,0
671,30407,25822,59905,-0.07654,0.208370436331256,0,0.0462582368655387,0.0693873552983081,0,0,0,0
672,411,985,1448,0.39641,0.552983081032947,0,0.122762243989314,0.184143365983972,0,0,0,0
673,834,2490,3424,0.48364,0.637577916295637,0,0.141542297417631,0.212313446126447,0,0,0,0
674,2786,2971,6067,0.03049,0.263579697239537,0,0.0585146927871772,0.0877720391807658,0,0,0,0
675,339,1151,1540,0.52727,0.683882457702582,0,0.151821905609973,0.22773285841496,0,0,0,0
676,711,1523,2281,0.35598,0.51380231522707,0,0.11406411398041,0.171096170970614,0,0,0,0
677,138,1392,1563,0.8023,0.974176313446126,0,0.21626714158504,0.32440071237756,0,0,0,0
678,1131,804,2021,-0.1618,0.165627782724844,0,0.0367693677649154,0.0551540516473731,0,0,0,0
679,342,657,1032,0.30523,0.466607301869991,0,0.103586821015138,0.155380231522707,0,0,0,0
680,1454,651,2223,-0.36122,0.0792520035618878,0,0.0175939447907391,0.0263909171861086,0,0,0,0
681,98,893,1019,0.78018,0.961709706144256,0,0.213499554764025,0.320249332146037,0,0,0,0
682,30581,23538,57765,-0.12193,0.182546749777382,0,0.0405253784505788,0.0607880676758682,0,0,0,0
