MPIO_CDPMP,AREA,n,total.len,total.roads,total.major,m_per_m2_all,m_per_m2_roads,m_per_m2_major
19455,189684313.555,676,263021.51766388735,262042.28108406003,676,0.0013866276695970582,0.0013814652154042217,3.5638160443034744e-6
19473,511477727.531,617,608135.2466226035,562626.7999672091,617,0.0011889769854851503,0.00110000254103559,1.2063086363083217e-6
19513,69683425.3788,266,114404.62879666127,114404.62879666127,266,0.0016417767664944172,0.0016417767664944172,3.817263553765053e-6
19517,1793143888.26,613,622949.8368966144,610090.7709866517,613,3.474064970330416e-4,3.4023525662442016e-4,3.41857674675975e-7
19532,755291082.879,661,602027.8647570981,595246.2506984863,661,7.970805936994557e-4,7.881017851151391e-4,8.75159279625567e-7
19533,1104751696.52,175,154313.8699771169,145087.20800980215,175,1.3968194886073503e-4,1.3133015180409415e-4,1.584066361257965e-7
19548,181269629.818,1060,456642.8614826945,456590.7516271677,1060,0.0025191360623463364,0.0025188485908290217,5.847642548088563e-6
19573,109123291.277,842,244041.38812331654,244041.38812331654,842,0.0022363822174666513,0.0022363822174666513,7.716042928568349e-6
19585,848323308.258,541,409405.93356621155,402335.09637569584,541,4.8260601775390474e-4,4.742709441779642e-4,6.377285578901789e-7
19622,169091744.495,454,292967.4566516123,282094.77852509904,454,0.0017325946782710923,0.0016682942113323605,2.68493297148179e-6
19693,419034904.536,230,233198.68061895366,224019.76391642122,230,5.565137369097594e-4,5.346088392433077e-4,5.488802901865191e-7
19698,518197476.134,3823,1330555.966460696,1302426.4714773577,3823,0.0025676619970967,0.002513378647063431,7.377496371694823e-6
19701,3619371025.99,163,198034.3699402481,159963.73663007235,163,5.4715133794850484e-5,4.4196556661752516e-5,4.5035449206375554e-8
19743,680991566.503,1110,758876.9345699264,620833.5483144622,1110,0.0011143705324676487,9.116611406842249e-4,1.6299761327442371e-6
19760,515944185.895,398,441573.6796252909,415859.5947291765,398,8.558555202231811e-4,8.060166314458833e-4,7.714012695183218e-7
19780,392385708.763,439,470294.35592456436,469826.1627965333,439,0.0011985511842599267,0.001197357988081842,1.1187971177236603e-6
19785,135873296.106,85,86506.34260528015,86506.34260528015,85,6.366691990587556e-4,6.366691990587556e-4,6.25582821908495e-7
19807,201292702.191,887,436339.0564416078,433415.4717015147,887,0.0021676844301468023,0.0021531603827855666,4.406518419919441e-6
19821,492141168.391,569,352942.84866596136,352942.84866596136,569,7.171577411820031e-4,7.171577411820031e-4,1.1561723272618735e-6
19824,404470459.448,486,426230.0878605616,422665.8782443826,486,0.0010537978186151294,0.0010449857792364237,1.2015710632199622e-6
19256,2739598906.44,1687,1677520.0985707885,1384793.1299111792,1687,6.123232472561684e-4,5.054729459323164e-4,6.157835718339476e-7
19318,2567949270.79,457,64702.11504093296,64309.80264281627,457,2.5196025395403585e-5,2.504325275204214e-5,1.779630171040759e-7
19418,3367567363.83,102,52210.72311940272,33285.85702194004,102,1.5503987739096762e-5,9.884243854912344e-6,3.0288926391065097e-8
19809,2057706193.39,223,68697.23153547333,68632.54582079695,223,3.3385345175200644e-5,3.3353909339081686e-5,1.0837310045347883e-7
19845,81621620.4804,725,211901.7625482738,211901.7625482738,725,0.0025961474582480056,0.0025961474582480056,8.882450455318956e-6
76001,563040919.671,40444,5754084.126388917,5685224.528573612,40444,0.01021965531342053,0.010097355858070922,7.183136888813076e-5
